Client ID,Case ID#,Date Opened,Date Closed,County of Residence,Zip Code,ACE Gender,ACE Race/Ethnicity,Current Age,Total Annual Income ,Aware of ACE Before Calling,ACE Did you try to get legal representation in this case before today's hearing?,Disability in Household,Landlord Representation,Type of Eviction Case,ACE Other Type of Eviction Case,10 Day Notice from Landlord,Move Options,Wants to Stay in Rental Unit,ACE Case Resolutions,ACE Case Resolution Other Benefit,ACE Level of Service,ACE Level of Service Other Appropriate Remedies,ACE Level of Service Other Services Provided,ACE Request a Continuance,ACE Case Handler,ACE Funding Source,Tenant's Goals (Same Day),Goal Status - Prevent Eviction Judgment,Goal Status - Prevent Involuntary Move,Goal Status - Prevent Eviction Filing,Goal Status - Mitigate Damages,Goal Status - Secure More Time to Move,Goal Status - Secure Rent Assistance,Goal Status - Remediate Defective Conditions,Goal Status - Secure Monetary Relief,Goal Status - Avoid Subsidy Termination,Goal Status - Reduce Rent/Fee,Goal Status - Remedy Housing Discrimination,Goal Status - Obtain Accomodation,Goal Status - Recover Personal Property,Goal Status - Other Goal
1468365,23-0520480,7/6/2023,7/20/2023,Baltimore County,21136,Female,"African American or Black, not of Hispanic Origin",57,25452,No,,Not asked,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468366,23-0520481,7/6/2023,7/20/2023,Baltimore County,21136,Female,"African American or Black, not of Hispanic Origin",20,27040,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468367,23-0520482,7/6/2023,7/20/2023,Baltimore County,21234,Female,"African American or Black, not of Hispanic Origin",36,20800,Not asked,,Prefer not to respond,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468370,23-0520485,7/6/2023,7/20/2023,Baltimore County,21208,Female,"African American or Black, not of Hispanic Origin",30,0,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468371,23-0520486,7/6/2023,7/20/2023,Baltimore County,21234,Male,"African American or Black, not of Hispanic Origin",34,0,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468372,23-0520487,7/6/2023,7/17/2023,Baltimore County,21136,Female,"African American or Black, not of Hispanic Origin",73,31348,Not asked,,Yes,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468375,23-0520488,7/6/2023,7/19/2023,Baltimore County,21117,Female,Prefer not to respond,26,19416,Not asked,,Yes,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,Prevented denial of public or subsidized housing tenant's rights,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1468377,23-0520490,7/7/2023,7/19/2023,Baltimore County,21215,Male,"African American or Black, not of Hispanic Origin",30,0,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468378,23-0520491,7/7/2023,7/30/2023,Baltimore County,21133,Female,"African American or Black, not of Hispanic Origin",40,33800,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468379,23-0520492,7/10/2023,3/25/2024,Howard County,21045,Female,"African American or Black, not of Hispanic Origin",41,39000,No,"No, I found out about it in court",Prefer not to respond,Represented by attorney,Failure to pay rent,,Unsure,Unknown,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1468381,23-0520494,7/7/2023,8/1/2023,Frederick County,21702,Female,"African American or Black, not of Hispanic Origin",25,35360,No,,No,Represented by agent,Failure to pay rent,,Yes,Friends/family – in MD,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Planned,,Planned,,,Not achieved,,Planned,Not achieved,Not achieved,,Not achieved,,
1468388,23-0520499,7/7/2023,4/11/2024,Frederick County,21702,Male,Prefer not to respond,29,22860,No,,Yes,,Constructive eviction,,,Unknown,Yes,Prevented eviction filing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,Achieved,,,Not achieved,,,,,,,,
1468410,23-0520508,7/7/2023,7/30/2023,Frederick County,21703,Male,"White, not of Hispanic Origin",51,24000,No,,No,Represented by agent,Failure to pay rent,,Unsure,Street/unsheltered,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,Achieved,,,,,,,,,,,,
1468468,23-0520535,7/7/2023,8/31/2023,Frederick County,21703,Female,"African American or Black, not of Hispanic Origin",44,0,No,,No,,Failure to pay rent,,,Friends/family – in MD,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance but it was denied",In-house staff,ACE Special Fund,,Goal changed,Achieved,Achieved,,,Not achieved,,Not achieved,,Not achieved,,,,
1468474,23-0520540,7/7/2023,8/31/2023,Frederick County,21702,Male,Hispanic,25,48960,No,,,,Failure to pay rent,,,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Planned,,Planned,,,Planned,,Planned,,,,,,
1468615,23-0520604,7/7/2023,8/1/2023,Washington County,21740,Female,"African American or Black, not of Hispanic Origin",39,46592,No,,No,,Failure to pay rent,,Yes,,,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1468740,23-0520650,7/7/2023,7/17/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",48,0,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468742,23-0520652,7/7/2023,8/1/2023,Carroll County,21157,Female,"White, not of Hispanic Origin",43,56472,,,,,Failure to pay rent,,,,,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1468747,23-0520654,7/7/2023,7/19/2023,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",36,10960,Not asked,,Prefer not to respond,Represented by attorney,Failure to pay rent,,Not asked,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1468748,23-0520655,7/7/2023,7/17/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",60,0,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468774,23-0520672,7/10/2023,8/16/2023,Montgomery County,20906,Female,"White, not of Hispanic Origin",66,20400,,,,,Failure to pay rent,,,Unknown,,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1468922,23-0520742,7/10/2023,7/17/2023,Baltimore County,21222,Male,"African American or Black, not of Hispanic Origin",61,26000,Not asked,,No,Represented by agent,Failure to pay rent,,,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468924,23-0520744,7/10/2023,7/17/2023,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",49,26000,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1469085,23-0520809,7/10/2023,7/17/2023,Baltimore County,21220,Male,"White, not of Hispanic Origin",59,10968,Not asked,,Yes,Represented by agent,Holdover,,,Not asked,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1469565,23-0521004,7/12/2023,7/24/2023,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",21,24000,Not asked,,Not asked,Represented by attorney,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1469579,23-0521011,7/11/2023,7/17/2023,Baltimore County,21244,Male,"African American or Black, not of Hispanic Origin",39,18096,No,,Yes,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1469599,23-0521023,7/11/2023,7/17/2023,Baltimore County,21244,Male,"African American or Black, not of Hispanic Origin",64,18000,Not asked,,Prefer not to respond,,Failure to pay rent,,Not asked,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1470064,23-0521235,7/13/2023,10/9/2023,Baltimore City,21213,Female,Prefer not to respond,49,10968,No,,No,Represented by agent,Failure to pay rent,,Yes,,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1470066,23-0521237,7/13/2023,11/27/2023,Montgomery County,20910,Male,Hispanic,37,15600,Not asked,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,,Friends/family – in MD,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1470172,23-0521281,7/13/2023,11/29/2023,Baltimore City,21229,Female,"African American or Black, not of Hispanic Origin",47,43680,Not asked,,Yes,,Failure to pay rent,,No,Not asked,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Planned,,,,,,,,,,,,,
1470190,23-0521289,7/13/2023,10/9/2023,Baltimore City,21234,Female,"African American or Black, not of Hispanic Origin",67,20800,Yes,,No,Represented by attorney,Failure to pay rent,,Yes,,Yes,Prevented eviction from public or subsidized housing,Amount of rent claim was eliminated,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Achieved,,Achieved,,,,,,,,,,,
1470617,23-0521468,7/14/2023,7/26/2023,Washington County,21740,Male,"White, not of Hispanic Origin",55,0,No,,Yes,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,Prevented eviction from public or subsidized housing,,Negotiation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,Achieved,,,,,,,,,,,
1470647,23-0521477,7/14/2023,7/30/2023,Washington County,21742,Male,"White, not of Hispanic Origin",40,48000,No,,Not asked,Self-represented,Failure to pay rent,,Not asked,Unknown,Not asked,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,Achieved,,,,,,,,,,,
1470667,23-0521485,7/14/2023,12/18/2023,Washington County,21740,Female,Other,59,0,Yes,,No,Self-represented,Failure to pay rent,,,Unknown,No,Prevented eviction from other housing,avoid court,Representation in Judicial Litigation,talked with LL,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,Achieved,,,,,,,,,,,
1470672,23-0521487,7/14/2023,7/30/2023,Washington County,21742,Female,"White, not of Hispanic Origin",34,36400,No,,No,,Failure to pay rent,,,Unknown,No,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1470689,23-0521492,7/14/2023,12/21/2023,Frederick County,21704,Female,"White, not of Hispanic Origin",28,46800,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",got 72 hrs to move out,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,Achieved,,,,,,,,,,,
1470692,23-0521493,7/14/2023,8/1/2023,Washington County,21740,Male,"White, not of Hispanic Origin",56,11580,No,,Yes,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction from public or subsidized housing,what to go in say at hearing,Negotiation,,advised,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,Achieved,,,,,,,,,,,
1470694,23-0521494,7/14/2023,7/30/2023,Frederick County,21791,Male,Other,69,16800,No,,No,Represented by agent,Other,Wrongful Detainer,,Street/unsheltered,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,Goal changed,,,Achieved,,,,,,,Goal changed,,
1470785,23-0521536,7/17/2023,7/30/2023,Carroll County,21776,Female,"White, not of Hispanic Origin",25,14400,No,,No,,Failure to pay rent,,,Shelter,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,Planned,,,,,,,,,,,
1470872,23-0521574,7/17/2023,6/20/2024,Anne Arundel County,21144,Male,"African American or Black, not of Hispanic Origin",45,20800,No,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",No,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,Obtained counseling services on a housing matter,rent was adjusted to reflect correct amount,Counseling,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1471314,23-0521780,7/18/2023,7/25/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",35,35100,No,,No,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1471331,23-0521787,7/18/2023,7/25/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",30,41600,No,,Yes,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1471829,23-0522015,7/19/2023,10/3/2023,Montgomery County,20879,Male,"African American or Black, not of Hispanic Origin",35,38400,,"No, I found out about it in court",No,Represented by attorney,Other,Wrongful Detainer,,Not asked,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1471932,23-0522060,7/20/2023,7/25/2023,Baltimore County,21133,Female,"African American or Black, not of Hispanic Origin",46,26000,No,,No,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1472072,23-0522120,7/20/2023,7/25/2023,Baltimore County,21117,Female,"African American or Black, not of Hispanic Origin",42,0,No,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1472199,23-0522171,7/21/2023,12/6/2023,Washington County,21740,Female,"White, not of Hispanic Origin",28,36000,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Yes,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing, Obtained representation in housing defensive litigation",,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,Achieved,,,,,,,,,,,
1472254,23-0522189,7/21/2023,8/2/2023,Montgomery County,20874,Male,"African American or Black, not of Hispanic Origin",52,45600,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Street/unsheltered,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1472277,23-0522201,7/21/2023,7/30/2023,Washington County,21783,Female,"White, not of Hispanic Origin",33,49400,No,,Yes,Represented by agent,Failure to pay rent,,Not asked,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,Achieved,Achieved,Achieved,,,,,,,,,,,
1472286,23-0522206,7/21/2023,8/1/2023,Frederick County,21703,Female,"African American or Black, not of Hispanic Origin",50,80000,No,,No,Self-represented,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1472317,23-0522221,7/21/2023,8/2/2023,Frederick County,21701,Female,"African American or Black, not of Hispanic Origin",48,46800,No,,No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,Goal changed,,,,,
1472333,23-0522228,7/21/2023,7/31/2023,Frederick County,21702,Female,"African American or Black, not of Hispanic Origin",50,0,No,,No,Represented by attorney,Failure to pay rent,,Yes,Street/unsheltered,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance but it was denied",In-house staff,ACE Special Fund,,,,Planned,,,,,,,,,,,
1472364,23-0522248,7/21/2023,7/31/2023,Frederick County,21701,Female,"White, not of Hispanic Origin",49,27600,No,,No,,Holdover,Tenant Holding Over,,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Planned,Planned,Planned,,,,,,,,,,,
1472422,23-0522279,7/24/2023,11/30/2023,Carroll County,21787,Male,"White, not of Hispanic Origin",23,18000,No,,,,Failure to pay rent,,,Street/unsheltered,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1472810,23-0522453,7/24/2023,7/30/2023,Baltimore County,21224,Female,"White, not of Hispanic Origin",58,0,No,,No,Self-represented,Holdover,,,Friends/family – in MD,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1472914,23-0522500,7/21/2023,7/28/2023,Montgomery County,20877,Female,"African American or Black, not of Hispanic Origin",50,0,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Street/unsheltered,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
