Client ID,ACE CIS ID,Case ID#,Date Opened,Date Closed,Zip Code,County of Residence,ACE Gender,ACE Race/Ethnicity,Current Age,ACE Client's Primary Language,Limited English Proficiency,Needs Translation Services,ACE Number of People Over 18 in Household,ACE Number of People under 18 in Household,Total Annual Income ,ACE Income Sources,Aware of ACE Before Calling,Called Elsewhere First,ACE Contact Elsewhere Detail,Has Eviction Been Filed?,ACE Court/Agency where the matter is pending,Disability in Household,Disability Related to Eviction,Current Monthly Rent,Type of Eviction Case,ACE Other Type of Eviction Case,10 Day Notice from Landlord,Months Behind Rent (Client),Months Behind Rent (Landlord),Reason Behind on Rent,ACE Conditions Issues,ACE Conditions Issues Other,Informed Landlord about Conditions,Can Pay Toward Rent,Current Property Move-In Date,Public/Subsidized/Voucher Housing,Move Options,Previous Evictions,Previous Eviction in Past Year,Wants to Stay in Rental Unit,Applied for Rental Assistance,Rent Assist Application Status,Reason Didn't Apply for Assistance,Subsidized Housing Program,Other Subsidized Housing Program,Landlord Received Rent Assist Funds,Landlord Representation,Tenant's Goals,Tenant's Other Goal,Goal Status - Avoid Subsidy Termination,Goal Status - Mitigate Damages,Goal Status - Obtain Accomodation,Goal Status - Other Goal,Goal Status - Prevent Eviction Filing,Goal Status - Prevent Eviction Judgment,Goal Status - Prevent Involuntary Move,Goal Status - Recover Personal Property,Goal Status - Reduce Rent/Fee,Goal Status - Remediate Defective Conditions,Goal Status - Remedy Housing Discrimination,Goal Status - Secure Monetary Relief,Goal Status - Secure More Time to Move,Goal Status - Secure Rent Assistance,Damage Mitigation Amount,Amount Owed Reduced,Client Move or Stay,Time Secured for Move,Agreement to Remediate,ACE Level of Service,ACE Level of Service Other Appropriate Remedies,ACE Level of Service Other Services Provided,ACE Case Resolutions,ACE Case Resolution Other Benefit,ACE Case Handler,ACE Funding Source
1468514,,23-0520557,7/7/2023,1/31/2024,21217,Baltimore City,Male,"African American or Black, not of Hispanic Origin",54,English,No,,2,0,10800,SSI or SSD,No,No.,,No,District Court,Yes,No,274,Other,Affirmative Rent Escrow,,,,,"Mold, Plumbing leaks (including sewer/sewage issues), Wall/ceiling/floor damage",,,,3-5 years,Yes,Unknown,No,,Yes,No,,Other,Public Housing,,No,Represented by attorney,"Remediate defective conditions, Remedy lead hazard",,,,,,,,,,,Achieved,,,,,0,Not applicable to this case,Stayed,,Agreement to remediate conditions,Representation in Judicial Litigation,,,"Enforced rights to decent, habitable housing, Obtained repairs to dwelling, Obtained representation in housing affirmative litigation",,In-house staff,ACE ARPA Baltimore City
1468546,,23-0520568,7/7/2023,10/31/2023,20906,Montgomery County,Male,Other,70,English,No,,1,0,45636,"Income from their employment, SSI or SSD",Not asked,No.,,Yes,District Court,No,,622,Failure to pay rent,,Not asked,I believe I am current on my rent,1 month,,,,,,,Yes,Not asked,Not asked,,Yes,Not asked,,,,,Not asked,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1468640,,23-0520613,7/7/2023,12/12/2023,21740,Washington County,Female,"White, not of Hispanic Origin",51,English,No,,3,3,55864,"Income from their employment, SSI or SSD",No,No.,,No,District Court,No,,901,Failure to pay rent,,Yes,1 month,1 month,,,,,"Yes, some of it",,No,Unknown,Not asked,,Not asked,Not asked,,,,,,,"Prevent eviction filing, Prevent involuntary move",,,,,,Planned,,Planned,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Moved,Less than 30 days,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing, Obtained representation in housing defensive litigation",,In-house staff,ACE Special Fund
1468685,,23-0520630,7/7/2023,12/5/2023,20876,Montgomery County,Female,"African American or Black, not of Hispanic Origin",72,English,,No,1,0,17940,SSI or SSD,Not asked,"Yes, I tried to contact a legal services provider but no return call or was denied  ",,No,District Court,Not asked,,0,Breach of lease,,,,,,,,,,6-9 years,Yes,Unknown,Not asked,,Yes,Not asked,,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,,Represented by attorney,Secure time to move (30 days or more),,,,,,,,,,,,,,Achieved,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1468793,,23-0520682,7/10/2023,3/7/2024,21085,Harford County,Female,"African American or Black, not of Hispanic Origin",25,English,No,,1,1,6900,Temporary Cash Assistance (TCA),, ,,,,,,0,Failure to pay rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1468818,,23-0520699,7/10/2023,12/25/2023,21074,Carroll County,Male,Hispanic,47,English,No,,2,3,40000,Income from their employment,No,No.,,Yes,,No,,900,Other,Wrongful Detainer,,,,,,,,,3-5 years,No,Street/unsheltered,No,,No,No,,Not asked,,,Not asked,Self-represented,"Prevent eviction judgment, Prevent involuntary move",,,,,,,Not achieved,Not achieved,,,,,,,,0,,,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1468830,,23-0520703,7/10/2023,12/25/2023,21229,Baltimore City,Female,"White, not of Hispanic Origin",47,English,Not asked,Not asked,2,1,39312,"Income from another household member's employment, SSI or SSD",Not asked,No.,,No,District Court,Not asked,,641,Failure to pay rent,,Yes,5 months,5 months,Not asked,,,,Not asked,1-2 years,Yes,Not asked,Not asked,,Yes,Not asked,,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,Not asked,Self-represented,Prevent eviction filing,,,,,,Not achieved,,,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1468844,,23-0520710,7/10/2023,12/24/2023,20782,Prince George's County,Male,Prefer not to respond,35,English,No,,2,0,25000,Income from their employment,No,No.,,Yes,,No,,1694,Holdover,,,,,,,,,,,No,Another apartment,Yes,Yes,No,Yes,Approved,,,,Yes,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move, Secure time to move (30 days or more)",,,,,,,Not achieved,Planned,,,,,,Achieved,,0,Not applicable to this case,,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing, Obtained representation in housing defensive litigation",,In-house staff,ACE Special Fund
1468877,,23-0520724,7/10/2023,11/29/2023,21061,Anne Arundel County,Female,Other,53,English,No,,1,0,0,No income,No,No.,,Yes,,Yes,No,1500,Holdover,,,,,,"Infestation or pests, Wall/ceiling/floor damage",,,,1-2 years,Yes,Unknown,Unknown,,Yes,No,,Prefer not to answer,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,Prefer not to respond,Represented by attorney,Prevent involuntary move,,,,,,,,Achieved,,,,,,,,0,Not applicable to this case,Stayed,,,Negotiation,,,Prevented eviction from public or subsidized housing,,In-house staff,ACE Special Fund
1468944,,23-0520751,7/10/2023,12/27/2023,21061,Anne Arundel County,Female,"White, not of Hispanic Origin",66,English,,Not asked,1,0,19813.56,SSI or SSD,No,No.,,No,District Court,No,,0,Failure to pay rent,,Yes,,2 months,,,,,,,No,Unknown,Unknown,,Yes,Not asked,,,,,Not asked,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1468951,,23-0520755,7/10/2023,9/5/2023,20650,St. Mary's County,Female,"African American or Black, not of Hispanic Origin",28,English,No,,1,3,8928,SSI or SSD,No,No.,,Yes,,Yes,No,104,Failure to pay rent,,Yes,2 months,3 months,Other,,,,"Yes, some of it",1-2 years,Yes,Unknown,Yes,Yes,Yes,Yes,Pending/Unsure,,USDA Rural Housing,,,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move",,,,,,,Achieved,Achieved,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Overcame denial of tenant's rights under lease, Prevented denial of public or subsidized housing tenant's rights, Prevented eviction from public or subsidized housing",,In-house staff,ACE Special Fund
1469005,,23-0520776,7/10/2023,8/16/2023,20902,Montgomery County,Male,American Indian or Alaskan,39,English,No,,1,0,33600,Income from their employment,Yes,No.,,No,District Court,No,,1372,Failure to pay rent,,Yes,6 or more months,2 months,"Job loss or reduced/inconsistent hours, Recent increase in rent, Unexpected expense",,,,"Yes, some of it",3-5 years,Not asked,Another apartment,No,,No,No,,Not asked,,MPDU,No,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Not applicable to this case,Moved,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,Case continued for 3 weeks-Voluntary dismissal-No judgment entered,In-house staff,ACE Special Fund
1469027,,23-0520783,7/10/2023,11/30/2023,21403,Anne Arundel County,Female,"African American or Black, not of Hispanic Origin",34,English,,No,1,1,7884,"Child support, Income from their employment",Not asked,No.,,No,District Court,No,,257,Failure to pay rent,,Not asked,I believe I am current on my rent,1 month,,Infestation or pests,,,,,Yes,Unknown,Unknown,,Yes,Not asked,,,Project-based Section 8,,Not asked,Represented by attorney,"Prevent eviction judgment, Remediate defective conditions",,,,,,,Achieved,,,,Planned,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,Agreement to remediate conditions,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1469045,,23-0520792,7/10/2023,7/28/2023,20912,Montgomery County,Female,"African American or Black, not of Hispanic Origin",61,English,No,,1,0,26000,Income from their employment,Yes,No.,,No,District Court,No,,1489,Failure to pay rent,,Yes,3 months,3 months,"Denied benefits / lost benefits, Job loss or reduced/inconsistent hours",,,,"Yes, all of it",1-2 years,No,Not asked,No,,No,No,,I did not know rental assistance was available,,,Not asked,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
